database,SPARQL Endpoint
uniprot,https://rdfportal.org/sib/sparql
pubchem,https://rdfportal.org/pubchem/sparql
pdb,https://rdfportal.org/pdb/sparql
chembl,https://rdfportal.org/ebi/sparql
chebi,https://rdfportal.org/ebi/sparql
reactome,https://rdfportal.org/ebi/sparql
rhea,https://rdfportal.org/sib/sparql
mesh,https://rdfportal.org/primary/sparql
go,https://rdfportal.org/primary/sparql
taxonomy,https://rdfportal.org/primary/sparql
mondo,https://rdfportal.org/primary/sparql
nando,https://rdfportal.org/primary/sparql
bacdive,https://rdfportal.org/primary/sparql
mediadive,https://rdfportal.org/primary/sparql
ddbj,https://rdfportal.org/ddbj/sparql
glycosmos,https://ts.glycosmos.org/sparql
clinvar,https://rdfportal.org/ncbi/sparql
ensembl,https://rdfportal.org/ebi/sparql
pubmed,https://rdfportal.org/ncbi/sparql
pubtator,https://rdfportal.org/ncbi/sparql
ncbigene,https://rdfportal.org/ncbi/sparql
medgen,https://rdfportal.org/ncbi/sparql